koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr
CONFIRMED,CANDIDATE,1,20.0504494,188.08821,0.383,4.556,8.41E+02,2.69,35.44,37.8
CONFIRMED,CANDIDATE,1,9.76734503,186.57718,0.9,1.6585,5.69E+02,2.67,92.46,21.1
CANDIDATE,CANDIDATE,1,119.0207044,222.236492,0.076,8.1405,7.43E+03,8.98,4.25,223.5
CONFIRMED,CANDIDATE,0.987,190.3200468,312.68498,0.812,15.284,1.14E+03,7.78,7.8,139.3
FALSE POSITIVE,FALSE POSITIVE,0,2.861159894,171.648106,0.965,1.8832,1.01E+03,4.37,797.1,58.3
CONFIRMED,CANDIDATE,1,26.44439337,194.12074,0.03,3.9783,1.84E+03,3.91,23.54,88
CONFIRMED,CANDIDATE,0.983,51.53997972,174.055011,0.183,6.3994,3.64E+03,5.51,9.67,155.5
CONFIRMED,CANDIDATE,1,5.902245782,136.78393,0.209,2.9003,7.02E+02,2.43,173.74,59.3
CONFIRMED,CANDIDATE,1,2.382951591,135.080841,0.479,1.8876,3.92E+02,1.86,583.01,41.4
CONFIRMED,CANDIDATE,1,21.02250608,207.67593,0.036,4.1072,1.77E+03,3.07,17.48,62.4
CONFIRMED,CANDIDATE,1,3.219814777,133.00406,0.06,2.0642,4.88E+02,1.69,234.93,30.5
CONFIRMED,CANDIDATE,1,5.912273234,172.184012,0.17,2.3254,9.61E+02,1.73,27.72,62.8
CONFIRMED,CANDIDATE,1,8.98581901,175.68418,0.008,2.8606,8.81E+02,1.65,15.9,51.8
CANDIDATE,CANDIDATE,0,12.94066866,179.423014,0.897,2.4845,4.25E+04,22.94,64.64,307.5
FALSE POSITIVE,FALSE POSITIVE,0.573,20.5452375,137.91394,0.95,2.517,2.19E+02,2.41,71.57,18.5
CONFIRMED,CANDIDATE,1,33.60123371,186.680343,0.67,4.4056,7.43E+03,8.46,14.22,247.9
CONFIRMED,CANDIDATE,1,6.76652928,138.0637,0.429,2.9004,4.51E+02,1.97,120.48,29.2
CONFIRMED,CANDIDATE,1,4.347288783,172.23343,0.025,2.1024,4.52E+02,2.36,449.79,39.7
CONFIRMED,CANDIDATE,1,4.601811819,169.98108,0.567,2.2607,7.56E+02,2.35,152.91,60.8
CONFIRMED,CANDIDATE,0.997,11.18719905,137.17814,0.387,3.252,3.54E+02,1.55,46.65,21.9
CANDIDATE,CANDIDATE,1,4.220965778,170.622433,0.705,3.0854,2.26E+03,2.62,29.68,157.8
FALSE POSITIVE,FALSE POSITIVE,0,6.998099523,171.898913,7.361,2.0488,2.03E+04,588.66,125.22,192.3
CONFIRMED,CANDIDATE,1,5.95489993,170.955871,0.327,2.3892,1.41E+03,2.33,38.52,87.2
CONFIRMED,CANDIDATE,1,12.03987488,181.22536,0.286,2.7363,1.25E+03,2.18,15.06,57.6
CONFIRMED,CANDIDATE,0.998,20.83762895,132.08488,0.706,2.3734,4.39E+02,1.42,7.24,14.9
FALSE POSITIVE,FALSE POSITIVE,0,8.8111022,136.4568,1.223,5.0683,4.01E+02,63.66,904.92,76.8
CONFIRMED,CANDIDATE,1,23.58917143,173.81994,0.926,5.073,1.20E+03,3.16,13.34,53.3
CONFIRMED,CANDIDATE,1,6.481633073,122.977657,0.833,3.784,2.99E+02,2.54,406.25,125.6
CONFIRMED,CANDIDATE,1,10.37168928,172.61729,0.537,3.035,1.25E+03,3.2,63.68,64.5
CONFIRMED,CANDIDATE,1,3.96996298,137.75447,0.836,1.1757,2.99E+02,1.78,229.37,15
CONFIRMED,CANDIDATE,1,4.40841331,172.18582,0.899,5.012,5.49E+02,2.66,398,45.1
FALSE POSITIVE,FALSE POSITIVE,0,7.9426176,174.52563,0.942,6.703,1.59E+03,4.68,140.57,60.4
CONFIRMED,CANDIDATE,1,226.8904775,207.35971,0.731,7.558,3.14E+03,4.53,0.73,46.8
FALSE POSITIVE,FALSE POSITIVE,0,1.956811408,170.694208,1.091,2.1958,2.49E+04,21.58,357.16,125.4
CANDIDATE,CANDIDATE,0.997,2.688899233,170.1020904,0.001,2.11275,3.75E+04,12.04,175.76,1011.6
CONFIRMED,CANDIDATE,1,9.439459486,177.186096,0.049,2.8979,3.04E+03,4.16,52.32,175.2
CONFIRMED,CANDIDATE,1,11.52306746,131.969055,0,3.8757,5.07E+02,3.13,174.81,142
CONFIRMED,CANDIDATE,0,20.47748843,178.66786,0.497,2.8364,1.38E+03,2.92,18.65,52.7
CONFIRMED,CANDIDATE,1,3.336123113,135.31623,0.252,1.9616,5.16E+02,1.74,209.79,41.6
CONFIRMED,CANDIDATE,1,8.01078456,170.20739,0.192,2.312,1.33E+03,1.72,9.9,48.5
CONFIRMED,CANDIDATE,1,12.07134205,143.45948,0.014,4.3224,7.59E+02,1.29,5.74,31
CONFIRMED,CANDIDATE,0.986,20.99587872,152.31554,0.228,2.6333,7.67E+02,1.3,2.74,18.2
CONFIRMED,CANDIDATE,1,7.41113177,175.34754,0.712,2.5242,6.21E+02,2.45,158.11,50.4
FALSE POSITIVE,FALSE POSITIVE,0,1.000747038,169.974229,0.908,0.9967,1.82E+03,4.14,1635.2,147.4
CONFIRMED,CANDIDATE,0.999,8.884922995,169.991686,0.069,2.07004,1.61E+04,10.51,83.21,388.2
CONFIRMED,CANDIDATE,1,8.09888906,176.623731,0.018,4.20241,6.91E+03,8.95,223.19,435.9
CONFIRMED,CANDIDATE,1,10.00653012,176.96898,0.862,5.344,9.36E+02,3.52,139.21,71.9
CONFIRMED,CANDIDATE,0.635,17.85522168,146.596466,0.075,7.41287,9.07E+03,13.16,163.04,915.7
CANDIDATE,CANDIDATE,1,12.73262407,176.939054,0.811,2.2083,6.47E+03,4.87,8.22,210.5
CANDIDATE,CANDIDATE,0.966,83.92494032,236.76334,0.658,6.7904,7.96E+03,4.78,0.62,182.1
CONFIRMED,CANDIDATE,1,5.007316661,173.433997,0.344,4.2362,6.93E+03,6.96,234.28,431.4
CONFIRMED,CANDIDATE,1,2.211116989,170.150139,0.69,1.6485,7.24E+02,1.85,177.19,42.6
